SIM,LAMBDA,alpha,beta
1,0,-0.0352475941193883,0.602708588599198
1,0.1,-0.0398611303691516,0.568551264581243
1,0.2,-0.0318306246676457,0.550802381729017
1,0.3,-0.0430610197918127,0.54850765712679
1,0.4,-0.0174942075540775,0.526446228603071
1,0.5,-0.0407220437821849,0.587363505935143
1,0.6,-0.0301618725335097,0.457486146425027
1,0.7,-0.0436430779323695,0.449005486588872
1,0.8,-0.0245183104230415,0.440096231376289
1,0.9,-0.0595454590602576,0.47300579033607
1,1,-0.0495406238261278,0.324094292452261
1,1.1,-0.0365416655768844,0.331380821499026
1,1.2,-0.0147666255106353,0.339669951651416
1,1.3,-0.028290552618219,0.362892404017006
1,1.4,-0.0409868279912803,0.410522910053451
1,1.5,-0.0300423649641785,0.383132048503868
1,1.6,-0.013297111991932,0.415697529688738
1,1.7,-0.0240276313830973,0.278179720242128
1,1.8,-0.00959690113156586,0.369616530115428
1,1.9,0.00678489976725944,0.301453553100519
1,2,-0.0451410298230636,0.405846305726124
2,0,-0.0352475941193883,0.602708588599198
2,0.1,-0.0286139895775786,0.616536571113667
2,0.2,-0.0403255589356928,0.551241796003906
2,0.3,-0.0364899064831302,0.584222862179435
2,0.4,-0.00252605429364917,0.518459450061633
2,0.5,-0.0435124411460947,0.481584243271546
2,0.6,-0.041665380857916,0.538120589115019
2,0.7,-0.0275556946514512,0.445627315874088
2,0.8,-0.0439731379645756,0.492109597585134
2,0.9,-0.0222410041440976,0.441319486767263
2,1,-0.0608553233923764,0.466282566268129
2,1.1,0.0221864134283306,0.412857107841672
2,1.2,0.00473995673906401,0.353425223111754
2,1.3,-0.049392540904331,0.275396077250535
2,1.4,-0.0173715837636917,0.361127978978864
2,1.5,-0.0512115769836677,0.37701213958656
2,1.6,-0.105893105432913,0.473626192133665
2,1.7,-0.0765587677323207,0.478150254809956
2,1.8,-0.0176237445625783,0.344059670412822
2,1.9,-0.045959953799629,0.363958533836075
2,2,-0.0114082034714389,0.348337349441785
3,0,-0.0352475941193883,0.602708588599198
3,0.1,-0.0415218115703533,0.574984232088764
3,0.2,-0.0466235212633153,0.551048188981099
3,0.3,-0.0514223390771488,0.578445807935538
3,0.4,-0.0147598226205415,0.504091704868015
3,0.5,-0.0425752546180436,0.57166503883836
3,0.6,-0.0388336082782397,0.528486256300613
3,0.7,-0.011526492433309,0.433123419883596
3,0.8,-0.0573462805456885,0.533439106990194
3,0.9,-0.0202637588133306,0.395113030794767
3,1,-0.0269313934164496,0.417018286025405
3,1.1,0.00667830332730353,0.420568428540132
3,1.2,-0.0134369761836697,0.432146084857202
3,1.3,0.00842460573097316,0.390018388889942
3,1.4,-0.0485819585322994,0.456765219019014
3,1.5,-0.0339560334811472,0.401866933615542
3,1.6,-0.0422950027542671,0.355017867914327
3,1.7,0.00760547283474672,0.315925118968788
3,1.8,0.00385185524821329,0.323935632863644
3,1.9,-0.034666610021912,0.316625226843137
3,2,-0.0178566395313425,0.324316581282639
4,0,-0.0352475941193883,0.602708588599198
4,0.1,-0.0259336714364959,0.588163482698031
4,0.2,-0.0377473184521931,0.578961018085736
4,0.3,-0.045985996836497,0.537924566559018
4,0.4,-0.0382218752384272,0.501107796373143
4,0.5,-0.035566961867434,0.521198402366994
4,0.6,-0.0551600302434552,0.467581506793115
4,0.7,-0.0216883110164119,0.473018501106698
4,0.8,-0.0159229651099895,0.494146956291462
4,0.9,-0.0259090609459739,0.432839847413697
4,1,-0.0372986380547294,0.353680263628868
4,1.1,-0.0446531874499213,0.394847601872273
4,1.2,-0.00452840838795591,0.350345464908161
4,1.3,-0.0322915954004452,0.359594856085431
4,1.4,-0.025354915208827,0.39449721635102
4,1.5,-0.0351834013646216,0.53255545215608
4,1.6,-0.0138480509136193,0.361277860465224
4,1.7,-0.0393229172840998,0.254419347823487
4,1.8,-0.002729994181455,0.435032598521006
4,1.9,-0.0380383688431159,0.36048610495525
4,2,-0.0120205066245752,0.317098008901446
5,0,-0.0352475941193883,0.602708588599198
5,0.1,-0.0362884669300939,0.600014246954625
5,0.2,-0.0542133952497093,0.573889580831758
5,0.3,-0.0346828024161548,0.573688593763611
5,0.4,-0.0400128302690829,0.553898584671422
5,0.5,-0.0273380001067252,0.512582327538786
5,0.6,-0.00345644507576509,0.490444779958275
5,0.7,-0.0267532072217235,0.417862408561243
5,0.8,-0.00502531090677269,0.443167284230045
5,0.9,-0.0465088024024995,0.422198045489892
5,1,-0.0201401026169427,0.42656702968193
5,1.1,-0.0612973383074776,0.429553324510434
5,1.2,-0.0418011025191147,0.376353163760007
5,1.3,-0.0253701777586672,0.299435178189521
5,1.4,-0.0302681068464017,0.331358620835351
5,1.5,-0.0609541321132468,0.40803950460414
5,1.6,-0.0413157860041892,0.457402594918234
5,1.7,-0.0179347811728145,0.283933879066745
5,1.8,-0.0676053031015324,0.34932790369661
5,1.9,-0.0228866473178084,0.399508749140148
5,2,-0.0225930449373519,0.340968658418156
6,0,-0.0352475941193883,0.602708588599198
6,0.1,-0.0447831098671073,0.582448668449158
6,0.2,-0.0120521233564678,0.58248927626003
6,0.3,-0.0230426871207767,0.58862467899885
6,0.4,-0.0147978241773548,0.543072750020895
6,0.5,-0.0478407763535328,0.540156988197152
6,0.6,-0.0367545245112805,0.589348560484727
6,0.7,-0.0579974130341431,0.497937491249854
6,0.8,-0.00562946968847142,0.437002741005025
6,0.9,-0.0472589037938977,0.45720922579459
6,1,-0.0367884680235287,0.453890773787504
6,1.1,-0.043074635470924,0.427510787218445
6,1.2,-0.0277434641079808,0.483829626365228
6,1.3,-0.0137997359574379,0.386803988904013
6,1.4,-0.0196533649618015,0.418162585999755
6,1.5,-0.0496099432626327,0.370173291311232
6,1.6,-0.0241758740673536,0.333253086589172
6,1.7,-0.00333665024877943,0.397411588455293
6,1.8,-0.0321317993217954,0.369313261595115
6,1.9,-0.0598615069253819,0.352290421882154
6,2,-0.0516142497273936,0.361642705822098
7,0,-0.0352475941193883,0.602708588599198
7,0.1,-0.0418383829328018,0.570658032835269
7,0.2,-0.0418709607151352,0.552207275849735
7,0.3,-0.0431864909832216,0.501712672930814
7,0.4,-0.0399635530596714,0.525849955676576
7,0.5,0.00546572834918827,0.426498951801708
7,0.6,-0.0519825082189267,0.532488957909616
7,0.7,-0.0292668040251806,0.414480356941549
7,0.8,-0.0686236601827996,0.474899043438503
7,0.9,-0.0124485142370645,0.508857446586123
7,1,-0.0351441969964804,0.468218540599029
7,1.1,-0.026364336010862,0.379836840916643
7,1.2,-0.0235799313490781,0.412095368208712
7,1.3,-0.0371297478618683,0.478419787569897
7,1.4,-0.0144004019754642,0.403429123374963
7,1.5,0.00011435597640915,0.318246697587989
7,1.6,-0.0151556930618288,0.279444821632462
7,1.7,-0.0530237782434133,0.338144420497873
7,1.8,-0.0362552556105081,0.342218158273532
7,1.9,-0.0449709220499794,0.347554143443782
7,2,-0.0225650090873223,0.349200575338339
8,0,-0.0352475941193883,0.602708588599198
8,0.1,-0.0270298206102172,0.523324413232543
8,0.2,-0.0231782733569878,0.53840065165211
8,0.3,-0.0367298051443172,0.597168176919061
8,0.4,-0.0661140663100061,0.566147224299319
8,0.5,-0.0263736555960575,0.474650234604518
8,0.6,-0.0532613919368494,0.519210495457001
8,0.7,-0.0130011577101915,0.344209563967277
8,0.8,-0.0233442579004172,0.488081234711143
8,0.9,-0.078955224696776,0.435937651495727
8,1,-0.0238409625883887,0.420486037242536
8,1.1,-0.0845048076632389,0.461850227867614
8,1.2,-0.0475975133724759,0.374783692910166
8,1.3,-0.0528702798354731,0.409896644224444
8,1.4,-0.0259413413110596,0.492549892070269
8,1.5,-0.0322162999942345,0.417269427856169
8,1.6,-0.0325570971937815,0.334454745094385
8,1.7,-0.0329918190161441,0.434618292967179
8,1.8,-0.00635635948004049,0.374168777997187
8,1.9,-0.0009234510202458,0.283842964734016
8,2,-0.0323965004004497,0.387515097424595
9,0,-0.0352475941193883,0.602708588599198
9,0.1,-0.0356177312301483,0.603381987553425
9,0.2,-0.038904279441035,0.489112129322405
9,0.3,-0.0472468780938363,0.519986114806295
9,0.4,-0.0376329547840604,0.434028546820204
9,0.5,-0.0414784547441079,0.48576494086188
9,0.6,-0.0207727507682131,0.461675697235736
9,0.7,-0.0316789082315922,0.509092975542962
9,0.8,-0.0122971988133084,0.498792535640526
9,0.9,-0.0209059100834212,0.440973076429854
9,1,-0.0375769885154902,0.441109194248405
9,1.1,-0.0508753147334762,0.457564762691142
9,1.2,-0.0106551736157969,0.375086218316811
9,1.3,0.00961137120212089,0.396731516965258
9,1.4,-0.0112026159733214,0.356830284732953
9,1.5,-0.0252645812245881,0.383637068662837
9,1.6,-0.0267859487960391,0.409184622546145
9,1.7,-0.0293787998951174,0.344627295044608
9,1.8,-0.0673022426208217,0.424818721372561
9,1.9,-0.0439234841673192,0.436797527432682
9,2,-0.0133879662010384,0.285403126246454
10,0,-0.0352475941193883,0.602708588599198
10,0.1,-0.0301224556996571,0.58506161788785
10,0.2,-0.0331260957703012,0.557945104040273
10,0.3,-0.0455895462920409,0.597750912227569
10,0.4,-0.0175298349464781,0.503564770237076
10,0.5,-0.0106999618384977,0.492517309781317
10,0.6,-0.0146537873146488,0.464066623851381
10,0.7,-0.00245697140352395,0.439053840425251
10,0.8,0.0180930525491539,0.543541908597933
10,0.9,-0.000347092525695454,0.542018244655495
10,1,-0.0305720237978362,0.478251494058565
10,1.1,-0.0146152545411075,0.437721653535721
10,1.2,-0.031588169861629,0.422332253114763
10,1.3,-0.0328281396606689,0.385599014189271
10,1.4,-0.0155794066650564,0.435700751154078
10,1.5,-0.0172415069145999,0.46108366303281
10,1.6,-0.0282254727355154,0.407995881700878
10,1.7,-0.022667204052415,0.388131668342516
10,1.8,-0.00686620244576454,0.424928306098354
10,1.9,-0.0293288960317295,0.446075136472815
10,2,0.027667442474193,0.322675465547225
11,0,-0.0352475941193883,0.602708588599198
11,0.1,-0.0310144596531541,0.594578050960002
11,0.2,-0.0515850474022636,0.546127413096173
11,0.3,-0.019756522016523,0.531702577078716
