SIM,N,SIGMA2,XDIST,METHOD,alpha_hat,beta_hat
1,100,0.5,chi-square,Naive,-0.0400903136036238,0.810804448244919
1,100,0.5,chi-square,RC,-0.100350924839671,1.12727893457475
1,100,0.5,chi-square,True,0.183911802272943,1.31755902984272
1,100,0.5,normal,Naive,0.157875727190784,0.860102699072914
1,100,0.5,normal,RC,0.195351141081413,1.18759281130841
1,100,0.5,normal,True,0.0558694936504623,1.38117623281076
1,100,1,chi-square,Naive,0.338412522915821,0.401619494454189
1,100,1,chi-square,RC,0.29536077645287,0.634758737026109
1,100,1,chi-square,True,0.313890411931996,1.16029613050231
1,100,1,normal,Naive,0.402828518543257,1.19663156087663
1,100,1,normal,RC,0.499084257918198,2.37169524757359
1,100,1,normal,True,0.343359092380281,1.87648592471611
1,300,0.5,chi-square,Naive,0.0666517015281165,0.748130446331982
1,300,0.5,chi-square,RC,-0.00117729908016322,0.940559889135044
1,300,0.5,chi-square,True,0.130038417707673,1.16784783610683
1,300,0.5,normal,Naive,-0.170133612822077,0.516162425185122
1,300,0.5,normal,RC,-0.173799955655469,0.747937293320792
1,300,0.5,normal,True,-0.209616679579476,0.991805643995003
1,300,1,chi-square,Naive,0.0177284856028782,0.370018237933073
1,300,1,chi-square,RC,-0.0375597563284172,0.570123902119297
1,300,1,chi-square,True,0.00413216579497595,0.85198392431347
1,300,1,normal,Naive,0.146220428664633,0.549409096500869
1,300,1,normal,RC,0.212069279577297,1.05978029352464
1,300,1,normal,True,0.170697863702423,1.30470615912945
2,100,0.5,chi-square,Naive,0.0206165043385731,0.527796724988128
2,100,0.5,chi-square,RC,-0.0217716560151699,0.673257996433228
2,100,0.5,chi-square,True,0.0441566639757285,1.12179642758163
2,100,0.5,normal,Naive,-0.104899320109854,0.415979923097217
2,100,0.5,normal,RC,-0.0922165261648681,0.646960040038218
2,100,0.5,normal,True,-0.0619970811783327,0.660590953387623
2,100,1,chi-square,Naive,0.152918950979149,0.695824757975226
2,100,1,chi-square,RC,-0.0956971777431329,1.31479926614184
2,100,1,chi-square,True,0.111467234166073,0.833624589664706
2,100,1,normal,Naive,-0.0473375312047611,0.392948860692092
2,100,1,normal,RC,-0.153379110284519,0.857589702214369
2,100,1,normal,True,-0.16589755025268,1.30778970306055
2,300,0.5,chi-square,Naive,-0.00120751280447808,0.808798145319532
2,300,0.5,chi-square,RC,-0.0750167233581424,0.965505108480282
2,300,0.5,chi-square,True,-0.00680178483818472,1.31752688461193
2,300,0.5,normal,Naive,-0.259033415688634,0.599343870031826
2,300,0.5,normal,RC,-0.245933850224716,0.830400787481782
2,300,0.5,normal,True,-0.240410224028689,0.887762105822012
2,300,1,chi-square,Naive,-0.214881512889041,0.502292219440547
2,300,1,chi-square,RC,-0.336634730218652,0.799208898268654
2,300,1,chi-square,True,-0.182033343491627,1.06830857965669
2,300,1,normal,Naive,0.126632600885209,0.604435278982214
2,300,1,normal,RC,0.194607809364212,1.04903169849779
2,300,1,normal,True,0.0196486757134278,1.12256927889109
3,100,0.5,chi-square,Naive,0.277838618136762,0.630391860115666
3,100,0.5,chi-square,RC,0.205453254625154,0.746175639826389
3,100,0.5,chi-square,True,0.266417909319454,0.840436390456791
3,100,0.5,normal,Naive,-0.193647020908003,1.11999836995611
3,100,0.5,normal,RC,-0.147928010030091,1.74387384607288
3,100,0.5,normal,True,-0.147872190629395,1.27641159401706
3,100,1,chi-square,Naive,0.39666090237468,0.386186989804568
3,100,1,chi-square,RC,0.339958231342135,0.596549751568523
3,100,1,chi-square,True,0.388469839997802,0.932875106919523
3,100,1,normal,Naive,0.463567127181355,0.808522523407427
3,100,1,normal,RC,0.537018633658359,1.43902842231516
3,100,1,normal,True,0.513480391354823,1.47958985698731
3,300,0.5,chi-square,Naive,-0.0295101394894172,0.303082493505701
3,300,0.5,chi-square,RC,-0.0498563782121227,0.396096716769866
3,300,0.5,chi-square,True,-0.047271885008501,0.700860864851606
3,300,0.5,normal,Naive,0.0272494667815608,0.632909697103797
3,300,0.5,normal,RC,0.034833720772407,0.93401797957977
3,300,0.5,normal,True,0.0242239826811234,1.14299266760313
3,300,1,chi-square,Naive,0.0566918409517318,0.547567941762791
3,300,1,chi-square,RC,-0.00690411572363072,0.817786114799355
3,300,1,chi-square,True,0.0694107081790154,1.42535358091976
3,300,1,normal,Naive,-0.0358517315434127,0.463940693649664
3,300,1,normal,RC,-0.0411825055851595,0.950427777463693
3,300,1,normal,True,-0.0548032651161749,0.871893641338688
4,100,0.5,chi-square,Naive,0.0539713076796794,0.499255542859172
4,100,0.5,chi-square,RC,0.00790073953987621,0.561943088129222
4,100,0.5,chi-square,True,0.0513946705489655,0.840933795027689
4,100,0.5,normal,Naive,-0.220211650859016,0.810048117835583
4,100,0.5,normal,RC,-0.24868518041806,1.1704291131796
4,100,0.5,normal,True,-0.281529350116178,1.32398324885648
4,100,1,chi-square,Naive,0.108455544097577,0.33920499773965
4,100,1,chi-square,RC,0.0529953220103088,0.482604073313697
4,100,1,chi-square,True,0.115516007038649,1.02463449447699
4,100,1,normal,Naive,0.212450842938014,0.288694691874069
4,100,1,normal,RC,0.18102360799369,0.517571673850951
4,100,1,normal,True,0.261677692476248,0.972606246751687
4,300,0.5,chi-square,Naive,-0.0086712201435273,0.621211492513682
4,300,0.5,chi-square,RC,-0.0442880822942298,0.832607686703873
4,300,0.5,chi-square,True,0.036621998280127,1.10369530746154
4,300,0.5,normal,Naive,0.0706236859133988,0.807246441768728
4,300,0.5,normal,RC,0.0595440094611019,1.20082563777074
4,300,0.5,normal,True,0.0965446564911965,1.17903071544283
4,300,1,chi-square,Naive,-9.28296253686427e-05,0.41992482135419
4,300,1,chi-square,RC,-0.0659350799952704,0.638387244717463
4,300,1,chi-square,True,0.0326502833449855,1.05526681071451
4,300,1,normal,Naive,-0.0941492491606858,0.402745099353214
4,300,1,normal,RC,-0.0770322254789776,0.748211557736609
4,300,1,normal,True,-0.101471669786325,0.795401788872783
5,100,0.5,chi-square,Naive,0.133615403352786,0.534687012515648
5,100,0.5,chi-square,RC,0.0954840939413954,0.634370845626956
5,100,0.5,chi-square,True,0.12937433925323,1.44261328542967
5,100,0.5,normal,Naive,-0.0518852544918965,0.404129029187287
5,100,0.5,normal,RC,-0.0755569805341201,0.596316470517361
5,100,0.5,normal,True,-0.17374366603123,0.872193654918252
5,100,1,chi-square,Naive,-0.0339201367199175,0.638123930485405
5,100,1,chi-square,RC,-0.0441701509900144,1.3880318954191
5,100,1,chi-square,True,0.0197462910163505,1.42619222923287
5,100,1,normal,Naive,-0.0287382555569713,0.506497393987228
5,100,1,normal,RC,0.112564018753846,1.66305612504031
5,100,1,normal,True,-0.15370321226863,0.893890152766623
5,300,0.5,chi-square,Naive,-0.108997125332446,0.749826074572798
5,300,0.5,chi-square,RC,-0.169729499632271,0.934324091155792
5,300,0.5,chi-square,True,-0.0897664536849468,1.30707764108583
5,300,0.5,normal,Naive,-0.0690550407775878,0.440084844016118
5,300,0.5,normal,RC,-0.0830697419577503,0.666223346294977
5,300,0.5,normal,True,-0.136319411986062,0.765226946556189
5,300,1,chi-square,Naive,0.0973958126627079,0.661570262308663
5,300,1,chi-square,RC,0.0300969972607964,0.929639656417896
5,300,1,chi-square,True,0.24976550541759,1.63500754531059
5,300,1,normal,Naive,0.114729832821665,0.486758840127652
5,300,1,normal,RC,0.0736203886510704,0.894466936307357
5,300,1,normal,True,0.11666269144653,1.11293042960844
6,100,0.5,chi-square,Naive,0.259701615092774,0.583674976238648
6,100,0.5,chi-square,RC,0.272053205140462,0.94845886082658
6,100,0.5,chi-square,True,0.453709975002812,1.49233157117807
6,100,0.5,normal,Naive,0.184534472942375,0.944452320800219
6,100,0.5,normal,RC,0.133689440217057,1.40292162217164
6,100,0.5,normal,True,0.188589718668738,1.15169555138744
6,100,1,chi-square,Naive,0.0458892419161797,0.716867459357766
6,100,1,chi-square,RC,-0.0705212622550433,1.04386755234305
6,100,1,chi-square,True,0.0835017870067947,1.42623954601048
6,100,1,normal,Naive,-0.165359436230434,0.297272389510762
6,100,1,normal,RC,-0.163672599000163,0.630169952261753
6,100,1,normal,True,-0.168462359991971,0.589503755170464
6,300,0.5,chi-square,Naive,-0.0972839995224669,0.615691906822045
6,300,0.5,chi-square,RC,-0.16329791380506,0.750952880137454
6,300,0.5,chi-square,True,-0.102432992823744,1.13507422731066
6,300,0.5,normal,Naive,0.0116576980682243,0.700021679064927
6,300,0.5,normal,RC,0.0203139238818046,1.01889486375937
6,300,0.5,normal,True,0.00528297014003085,1.08140190478398
6,300,1,chi-square,Naive,0.184356524055531,0.417083960794179
6,300,1,chi-square,RC,0.110285683970998,0.699160313271191
6,300,1,chi-square,True,0.248721053210785,1.32248134007287
6,300,1,normal,Naive,-0.130779144932755,0.545922889625283
6,300,1,normal,RC,-0.0303069371801104,1.26742156658629
6,300,1,normal,True,-0.11291183093812,1.1360352961162
7,100,0.5,chi-square,Naive,0.105818642618294,0.845286046625549
7,100,0.5,chi-square,RC,0.04232508134029,0.985903125459503
7,100,0.5,chi-square,True,0.129409637396894,1.48602105912383
7,100,0.5,normal,Naive,0.031629751136405,0.653075996741644
7,100,0.5,normal,RC,0.0535230218221112,1.07005291790086
7,100,0.5,normal,True,-0.00508164095253763,0.802669273236445
7,100,1,chi-square,Naive,0.183551478145769,0.222902757722541
7,100,1,chi-square,RC,0.156043171173897,0.303401104408733
7,100,1,chi-square,True,0.104916659879962,0.468482690190314
7,100,1,normal,Naive,-0.302761977946489,0.464402689801307
7,100,1,normal,RC,-0.289948992990388,0.923040670491815
7,100,1,normal,True,-0.2783717236557,0.981448768923205
7,300,0.5,chi-square,Naive,-0.0630072498287093,0.699172776321075
7,300,0.5,chi-square,RC,-0.122233814975187,0.88622943005052
7,300,0.5,chi-square,True,-0.00282669697369224,1.31637983756919
7,300,0.5,normal,Naive,-0.156407051893417,0.776990470870469
7,300,0.5,normal,RC,-0.166557339329687,1.30632429053973
7,300,0.5,normal,True,-0.211739159801406,1.29535088378071
7,300,1,chi-square,Naive,-0.0906428500937127,0.446477252803151
7,300,1,chi-square,RC,-0.149194332093066,0.699850381054363
7,300,1,chi-square,True,-0.0496242551976238,0.991717789491999
7,300,1,normal,Naive,0.242878222581428,0.484380910719915
7,300,1,normal,RC,0.255250270999888,1.00410146240295
7,300,1,normal,True,0.385418715730689,0.882139175450011
8,100,0.5,chi-square,Naive,-0.0875840585700376,0.320337212316769
8,100,0.5,chi-square,RC,-0.106132837320578,0.423674159060498
8,100,0.5,chi-square,True,-0.0681058627607749,0.517255684492997
8,100,0.5,normal,Naive,0.184331180126444,0.688008966104972
8,100,0.5,normal,RC,0.252839262063055,1.16061670096239
8,100,0.5,normal,True,0.169460383992026,1.21612666717677
8,100,1,chi-square,Naive,0.0308691698719344,0.253858946730053
8,100,1,chi-square,RC,-0.00582643714428457,0.415393293169575
8,100,1,chi-square,True,-0.000666401769102229,0.575193232627543
8,100,1,normal,Naive,-0.270623941454971,0.563436983578847
8,100,1,normal,RC,-0.214886447220681,1.25247650935419
8,100,1,normal,True,-0.187074923352389,1.19062949301168
8,300,0.5,chi-square,Naive,-0.0993508815917928,0.727688351052809
8,300,0.5,chi-square,RC,-0.152157140985304,0.904886554334792
8,300,0.5,chi-square,True,-0.0635780356121392,1.28396605013849
8,300,0.5,normal,Naive,0.00669341142613722,0.578538029595326
8,300,0.5,normal,RC,0.0471377422656053,0.872596678851872
8,300,0.5,normal,True,0.0526314290846658,0.994543570668431
8,300,1,chi-square,Naive,0.183412777913792,0.47334008092174
8,300,1,chi-square,RC,0.111692931999117,0.637016484941135
8,300,1,chi-square,True,0.231630605527196,1.12723407324838
8,300,1,normal,Naive,-0.174597510884809,0.394809137430296
